Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024*,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
TOTAL POR UF,4.244.837,4.147.275,4.203.863,4.447.075,4.105.720,3.840.001,3.887.234,3.867.268,4.121.321,4.187.990,4.233.169,4.400.137,4.492.544,4.365.606,4.552.520,4.687.080,4.377.604,4.297.519,4.147.257,4.141.719,4.361.233,4.412.144,4.536.867,4.662.469,4.642.995,4.825.670,4.875.071,4.833.694,4.418.609,4.319.585,4.230.515,4.408.226,4.512.014,4.581.791,4.768.229,4.952.341,4.941.580,4.923.943,5.099.470,5.287.341,4.864.118,4.587.140,4.486.888,4.520.225,4.787.183,4.881.812,5.105.641,5.161.662,5.227.522,5.190.004,5.242.256,5.206.102,5.090.517,4.829.191,4.790.579,4.984.063,5.104.420,5.260.713,5.501.496,5.386.038,5.367.747,5.442.517,5.698.327,5.685.560,5.247.517,5.031.436,4.996.843,5.129.084,5.304.022,5.493.177,5.763.756,6.094.576,5.850.652,5.885.129,6.162.429,6.009.647,5.657.847,5.420.061,5.223.668,5.451.232,5.657.844,5.712.706,5.833.309,6.305.473,6.250.067,6.330.954,6.373.328,6.297.738,6.002.047,5.718.674,5.654.276,5.879.222,6.113.102,6.156.478,6.207.693,6.497.944,6.466.277,6.608.141,7.036.828,6.856.040,6.416.533,6.281.700,6.033.383,6.303.157,6.501.886,6.591.504,7.051.341,7.079.565,7.202.468,7.035.408,7.146.581,7.050.788,6.832.911,6.594.674,6.453.638,6.601.480,6.760.321,7.071.235,7.382.159,7.572.217,7.745.052,8.204.334,7.744.219,7.587.765,7.303.571,6.862.125,6.772.573,6.989.447,7.186.043,7.615.292,7.974.122,7.855.916,8.076.143,8.089.865,7.907.780,7.906.721,7.363.736,7.072.660,6.838.562,7.077.425,7.161.169,7.630.771,7.790.700,7.852.009,7.760.773,7.714.336,7.798.026,8.046.466,7.379.039,6.847.934,6.686.063,6.749.563,6.998.392,7.031.209,7.335.151,7.525.886,7.778.453,7.683.653,7.964.592,7.697.452,7.248.489,7.010.216,6.655.413,6.718.745,7.114.941,7.309.398,7.491.351,7.619.787,7.611.452,7.572.069,7.865.509,7.847.428,7.417.647,6.885.495,6.747.084,6.894.849,7.030.951,7.430.572,7.573.780,7.783.163,8.125.419,8.209.493,8.054.653,7.781.941,7.767.779,7.140.814,6.915.258,6.945.604,7.244.462,7.754.692,8.095.399,8.047.980,8.019.694,8.039.224,7.816.091,6.388.288,5.774.137,5.611.285,5.934.881,6.250.459,6.666.275,7.353.303,7.150.141,7.520.377,7.654.105,7.530.943,8.033.613,7.287.225,6.837.775,6.781.309,6.611.357,6.843.493,7.274.689,7.489.159,7.484.640,7.959.463,7.969.005,7.978.544,8.402.908,8.229.325,7.602.138,7.153.406,7.158.176,7.308.252,7.393.353,7.482.200,7.738.008,8.080.138,8.066.011,8.188.159,8.605.127,8.539.638,7.840.105,7.600.730,7.298.653,7.678.935,8.011.559,8.425.599,8.639.110,9.018.997,8.940.677,8.894.633,9.106.592,9.043.976,,,,,,,,
Rondônia,25.870,23.367,24.153,24.113,25.789,24.112,24.312,25.604,25.980,27.250,26.816,26.206,27.206,25.155,25.747,26.397,27.307,27.396,28.707,26.282,27.842,27.943,28.313,30.070,28.966,26.797,27.565,28.768,27.522,28.019,30.472,29.727,32.137,31.501,30.001,30.966,28.980,29.491,28.232,29.983,31.634,30.746,31.756,30.576,33.884,33.185,32.055,31.473,29.894,29.522,29.042,30.690,31.079,30.951,30.505,34.261,35.892,35.031,36.123,34.887,33.013,34.332,30.449,33.062,35.065,34.666,34.395,36.597,38.153,38.114,39.584,38.331,37.114,34.369,36.503,40.729,40.166,38.492,40.912,38.034,41.555,46.689,43.555,42.160,42.015,39.544,38.807,42.438,41.493,44.253,45.273,45.689,46.396,47.506,46.594,47.466,44.418,43.007,53.988,47.703,48.628,49.920,46.728,55.764,53.424,52.966,56.362,50.225,46.995,44.797,47.623,51.194,51.972,49.930,51.477,50.027,50.644,55.138,53.027,53.253,51.617,48.144,49.551,52.568,49.907,52.707,50.952,55.189,60.187,58.201,55.853,56.945,49.773,48.812,52.050,53.460,52.049,54.095,53.804,55.228,59.847,59.172,57.024,57.998,51.980,52.199,55.293,53.620,53.596,51.364,53.228,57.096,53.580,55.628,54.801,53.416,51.309,48.994,53.181,51.900,56.429,54.622,53.895,58.865,59.221,59.752,58.334,55.040,54.098,51.459,55.904,55.431,57.374,51.373,56.042,59.614,55.864,62.870,59.784,54.965,56.160,55.380,56.768,57.543,58.945,56.518,61.912,60.517,64.484,61.977,61.707,60.574,57.799,62.173,56.624,49.997,50.229,49.545,54.005,59.693,62.425,64.926,63.095,63.636,49.477,49.089,46.180,53.960,55.040,55.541,53.407,57.865,61.224,61.321,57.849,58.105,55.438,51.351,57.027,56.925,60.023,55.906,58.845,62.511,63.313,63.402,60.625,63.862,57.347,54.871,61.713,59.678,63.534,63.088,60.077,65.204,68.834,67.340,69.317,68.373,63.592,61.717,64.375,67.186,,,,,,,,
Acre,7.895,7.329,7.420,7.345,7.142,6.955,7.205,7.580,8.309,7.910,8.377,8.122,8.024,7.878,8.068,7.587,7.567,8.600,8.270,8.024,8.351,9.009,9.141,8.968,8.602,8.356,8.610,9.007,8.215,8.454,9.341,8.964,9.981,9.672,9.921,10.207,9.013,9.600,9.435,9.358,9.383,8.845,9.536,9.441,9.846,10.516,10.364,10.030,9.703,9.875,9.498,9.847,9.743,9.594,9.889,11.082,11.005,11.310,11.352,11.058,10.485,10.278,9.278,11.136,10.146,10.200,10.281,10.760,12.041,12.083,12.149,11.902,11.371,11.493,10.884,12.385,11.915,11.071,11.818,11.349,12.481,13.573,13.135,12.346,12.545,12.454,11.273,12.023,14.168,12.178,12.450,13.784,14.487,14.721,15.698,15.066,14.315,14.204,14.916,16.069,15.077,15.402,15.582,16.380,17.132,18.205,17.220,16.036,16.078,15.342,14.894,16.194,16.196,16.424,15.569,15.395,15.868,17.748,16.984,16.636,18.294,18.506,18.580,18.299,17.519,17.724,17.265,18.296,20.394,20.820,18.698,20.055,17.116,16.624,18.810,18.960,17.937,19.190,19.806,20.575,20.800,21.257,21.669,21.876,19.358,19.568,21.012,19.787,19.215,18.413,20.506,21.601,20.587,21.408,23.190,22.449,21.391,20.414,22.236,21.488,23.137,22.574,21.347,24.253,24.179,25.050,22.999,23.357,17.879,17.677,18.846,18.527,18.315,16.706,17.295,18.619,19.219,20.849,20.864,18.300,21.375,19.788,21.254,21.445,21.979,21.289,21.872,21.104,23.663,22.652,23.314,22.637,21.827,22.999,21.970,17.718,16.436,17.470,17.407,20.870,22.765,22.943,23.789,23.629,21.670,18.739,17.651,18.971,18.989,22.396,18.721,21.508,23.707,24.266,22.217,22.388,21.464,20.338,21.459,21.893,22.062,20.726,22.736,22.869,22.775,23.731,22.916,22.562,21.636,20.649,22.479,21.441,22.452,21.567,22.285,24.295,25.331,25.390,25.277,24.610,23.626,22.968,23.381,24.940,,,,,,,,
Amazonas,49.832,50.457,47.374,49.875,50.280,50.734,53.678,52.589,55.148,55.374,55.504,55.654,55.779,52.497,52.179,55.001,52.808,56.443,57.251,57.331,60.826,58.926,60.379,57.287,56.039,54.535,52.198,57.158,54.620,58.056,59.619,59.328,64.766,60.813,61.654,59.814,57.020,56.946,55.838,59.755,58.987,63.666,60.547,62.334,65.619,64.729,67.081,66.297,61.063,60.120,59.746,60.964,64.721,63.604,65.219,70.556,72.113,69.923,71.268,68.479,64.356,60.694,62.884,64.486,68.214,69.674,69.046,76.523,78.172,79.026,80.592,81.309,74.180,70.581,70.211,79.541,76.178,79.898,77.467,81.905,85.176,85.157,83.926,81.054,76.646,73.982,76.186,78.143,77.596,84.401,85.439,90.892,95.488,92.722,89.331,89.652,87.675,103.023,99.293,89.306,97.252,97.683,97.478,102.290,99.563,104.020,102.574,100.250,98.262,94.184,94.971,97.432,98.510,102.982,100.756,108.376,110.244,112.590,109.600,108.177,103.676,96.205,101.161,104.372,109.543,106.480,108.565,115.146,121.142,113.746,112.154,117.889,110.962,101.765,110.634,109.084,110.278,107.651,113.899,120.819,126.563,131.610,118.359,116.075,114.442,106.846,113.510,107.748,110.228,111.077,109.691,108.282,103.998,108.642,100.565,72.730,97.214,89.100,102.215,94.147,105.584,101.784,102.532,110.241,103.601,105.666,104.532,94.257,94.627,89.693,107.625,101.448,100.738,102.584,104.480,111.825,107.012,122.960,115.421,103.954,104.460,104.135,109.628,107.593,112.602,108.465,113.467,121.051,116.658,112.576,119.735,118.943,119.916,122.465,116.481,83.597,84.384,94.842,110.896,116.087,117.264,115.984,111.261,108.025,89.778,79.477,94.871,102.995,109.563,112.874,118.203,155.641,125.349,126.744,122.169,118.587,114.486,106.626,116.136,113.565,93.340,110.633,125.392,135.581,134.471,132.866,130.245,125.544,119.195,110.512,125.556,123.118,133.650,132.674,138.483,148.584,147.337,146.305,140.994,133.602,134.212,133.945,138.722,137.675,,,,,,,,
Roraima,6.141,5.822,5.494,6.035,5.548,5.472,5.876,5.820,5.652,5.980,6.798,6.737,6.691,6.618,6.088,6.593,6.382,6.035,6.205,6.092,6.553,6.680,7.566,6.840,6.639,6.574,6.592,6.578,6.519,6.603,6.062,6.260,7.207,7.223,7.740,7.108,7.544,6.964,7.685,7.569,7.474,7.022,6.782,7.541,7.467,7.733,8.454,8.529,7.682,7.910,7.792,8.178,8.278,7.791,7.759,7.659,8.418,9.363,9.169,9.127,8.406,8.154,8.631,8.381,9.412,8.453,8.304,8.320,9.123,9.774,9.962,9.445,9.491,7.957,9.187,10.244,9.676,9.345,8.921,9.559,10.056,11.068,10.980,10.205,11.542,9.246,10.432,10.573,10.196,10.164,10.113,10.048,11.530,12.208,11.096,12.243,11.337,11.113,12.012,14.163,11.201,12.119,11.424,11.844,12.272,13.319,13.698,13.597,12.396,11.742,12.160,13.917,12.502,12.465,13.029,12.683,12.860,14.970,13.346,13.929,13.961,13.406,13.931,13.796,14.738,13.355,13.716,13.543,16.190,16.590,15.194,17.035,16.134,15.107,17.813,16.211,15.060,15.320,16.036,16.195,18.207,18.868,17.790,18.028,15.632,16.653,18.492,16.871,16.419,15.785,15.431,17.422,17.512,17.872,17.562,17.650,16.319,15.558,17.567,15.955,17.166,16.386,15.723,18.427,17.756,19.052,18.996,18.486,17.164,17.206,18.475,18.313,17.157,16.198,15.702,18.511,17.759,20.877,19.371,17.086,17.792,17.042,18.700,19.273,17.483,15.643,17.397,16.994,17.795,19.698,18.790,18.629,18.908,17.688,19.367,15.248,14.570,14.633,16.026,16.913,19.102,20.317,19.347,20.080,17.851,17.851,17.329,19.076,18.281,18.443,19.082,19.799,21.839,21.978,22.387,21.722,20.094,20.126,21.776,21.430,20.905,20.277,20.642,23.444,23.988,24.426,22.875,22.698,22.579,21.194,24.873,23.108,23.453,22.501,22.241,26.455,26.748,26.993,26.314,24.974,25.915,25.171,26.157,26.730,,,,,,,,
Pará,78.075,72.467,75.857,78.779,79.714,82.470,79.919,83.589,83.100,82.032,85.686,85.977,81.673,74.181,82.983,80.300,83.797,84.585,86.609,87.985,88.073,89.541,88.431,89.123,83.584,78.813,84.087,80.891,83.331,87.535,86.599,88.855,93.654,95.213,92.862,91.547,89.277,85.592,84.740,88.848,90.581,95.474,91.705,95.613,98.375,98.611,100.187,98.943,92.432,87.349,91.565,89.632,92.931,97.785,100.705,101.404,110.145,110.090,103.836,107.235,100.483,92.923,94.961,92.633,89.835,99.177,105.540,103.133,108.517,106.474,108.755,113.090,99.021,98.227,112.369,105.416,106.781,115.298,110.702,112.638,118.164,116.677,115.182,117.017,105.223,97.462,106.375,104.770,111.137,123.278,117.803,121.377,124.534,122.054,121.621,127.926,116.627,107.364,116.883,116.170,124.167,123.534,119.388,129.641,127.221,127.339,130.320,128.819,125.851,123.148,119.927,130.644,132.342,136.934,137.379,141.526,136.345,146.416,140.934,155.289,127.788,133.088,134.882,131.541,142.253,144.398,143.393,147.819,151.566,150.085,150.865,161.055,135.566,142.895,139.246,127.765,135.447,136.803,156.783,149.470,156.328,166.817,167.489,170.220,138.997,139.937,137.816,137.474,153.567,160.524,165.613,159.230,164.598,161.510,159.725,168.023,141.314,135.757,139.496,150.193,158.212,162.758,158.493,164.858,166.224,164.753,163.826,166.432,146.049,138.518,146.203,146.276,155.312,158.423,157.249,158.098,162.712,166.161,161.982,152.329,140.184,135.183,144.023,147.880,154.674,161.148,161.100,164.500,167.738,170.981,168.149,171.530,149.588,152.546,148.905,132.698,126.892,136.212,157.763,170.062,171.851,173.892,169.584,162.442,156.143,147.262,152.447,154.590,168.673,174.343,175.964,181.712,177.392,180.006,176.108,181.856,162.647,160.838,174.725,172.177,179.501,182.373,184.979,193.527,196.497,196.761,187.033,186.473,176.755,168.418,194.433,184.017,189.880,197.274,198.387,206.946,207.992,213.696,218.560,206.848,194.406,186.982,195.932,196.144,,,,,,,,
Amapá,12.164,3.894,8.639,8.461,7.704,8.309,8.733,7.858,8.850,9.621,9.772,9.605,9.605,9.605,9.605,9.605,8.551,9.157,9.103,8.696,10.296,9.998,9.725,10.058,9.655,9.225,8.771,9.788,8.813,9.912,9.671,10.041,10.604,10.892,11.421,10.963,11.123,9.613,9.683,10.155,10.261,10.952,11.430,10.238,12.092,11.488,11.227,11.640,11.356,10.228,10.941,10.439,9.497,11.574,11.351,11.974,12.540,13.567,14.251,13.398,12.735,12.526,11.126,11.357,12.492,12.685,12.548,12.932,14.811,14.850,15.056,15.305,13.801,13.927,13.666,13.844,14.810,15.303,14.046,14.994,16.603,15.855,16.322,16.370,15.095,15.005,14.196,14.472,15.722,16.275,15.349,16.014,17.455,18.414,17.767,17.688,17.913,16.539,14.702,16.857,16.379,18.578,18.103,18.226,19.304,19.934,19.684,19.642,19.815,17.649,18.137,18.572,18.240,20.240,18.819,18.219,21.657,21.607,22.967,21.654,21.329,19.154,18.003,20.403,19.813,21.183,20.408,21.976,23.462,22.798,23.935,22.892,22.483,21.133,19.966,20.662,20.342,20.863,21.831,22.435,25.626,24.534,28.739,24.250,21.231,21.378,20.924,20.470,22.195,21.507,21.744,19.523,23.271,22.753,25.056,21.357,20.209,18.246,19.697,19.907,21.649,21.109,20.244,23.836,22.228,24.081,22.432,21.273,21.392,19.017,20.160,19.723,20.093,20.263,20.646,22.221,22.630,24.259,23.008,20.120,19.565,19.099,19.377,20.039,21.574,21.199,21.793,23.074,24.504,24.182,23.297,23.058,21.308,20.631,20.307,17.889,18.051,18.349,19.233,19.701,18.308,20.264,17.820,20.883,21.535,23.518,21.687,23.014,21.621,22.804,22.348,24.677,25.153,24.881,25.315,21.931,20.575,18.513,21.185,19.926,21.565,22.355,22.587,23.411,25.103,26.246,23.196,23.793,21.309,18.451,22.387,22.833,23.913,25.023,25.092,30.217,25.102,27.594,27.976,27.175,25.635,25.095,25.339,26.448,,,,,,,,
Tocantins,13.832,12.160,13.819,14.883,15.465,16.111,14.775,15.815,17.041,16.450,15.665,15.969,15.312,14.950,15.339,15.862,16.410,16.869,16.442,16.537,18.097,17.794,17.108,16.373,15.602,15.786,15.933,15.957,16.969,16.908,16.431,17.794,18.592,18.487,17.700,17.508,17.489,16.817,16.882,17.834,18.711,18.988,18.111,19.138,19.855,19.781,19.906,18.842,18.483,18.088,17.299,18.307,19.485,19.695,19.110,20.397,22.315,23.428,21.747,19.720,19.751,18.912,18.954,20.675,19.909,20.532,21.435,22.341,22.604,23.047,22.334,22.296,21.628,22.319,23.831,23.899,25.787,25.478,23.369,25.497,26.875,27.747,25.072,25.571,24.376,22.124,24.072,24.934,26.020,26.656,26.426,27.657,29.043,28.800,25.236,26.797,24.994,23.318,25.927,27.261,29.645,27.880,28.581,29.396,30.244,31.427,29.938,28.994,27.664,26.389,28.235,29.725,31.034,30.899,31.324,32.069,33.283,35.279,37.620,31.959,28.159,27.523,30.369,31.358,33.611,33.284,33.446,34.397,35.052,38.003,35.919,35.669,30.867,30.537,32.665,34.840,34.320,35.724,34.084,35.883,38.734,38.004,36.251,36.678,31.018,33.195,38.852,36.039,40.207,37.432,34.978,37.163,38.603,37.471,37.212,34.614,32.827,30.690,36.320,34.800,38.792,37.662,33.366,36.924,38.244,39.681,36.382,34.279,32.486,31.761,35.521,35.108,37.359,36.672,34.283,38.054,37.406,37.852,36.272,33.492,33.701,33.557,34.389,36.747,38.328,37.224,36.755,37.759,41.481,39.224,36.883,37.536,33.582,35.389,35.225,31.505,31.547,32.160,32.314,32.718,36.020,37.855,35.384,36.653,32.240,32.423,30.892,35.044,35.437,36.173,35.797,36.925,38.745,38.543,35.944,36.153,32.971,32.588,37.432,38.279,39.406,39.379,39.051,40.429,42.666,43.725,39.280,37.600,34.738,35.098,39.935,37.873,40.181,41.039,40.260,41.552,43.376,44.697,43.095,43.730,37.668,39.192,43.354,45.082,,,,,,,,
Maranhão,40.478,37.893,40.878,40.503,42.202,42.065,41.961,43.550,44.972,43.339,43.990,43.923,43.829,41.382,43.722,43.949,45.269,46.121,44.782,48.808,46.846,47.505,48.726,51.421,45.286,49.178,43.529,46.962,46.727,49.012,45.401,51.894,52.421,52.856,51.750,53.721,49.855,46.476,47.827,51.341,52.638,52.128,51.502,57.858,51.825,56.876,56.868,58.436,51.470,47.546,51.535,49.013,53.004,54.079,56.772,60.391,60.074,63.077,62.671,60.720,55.580,52.648,53.128,52.825,51.452,56.079,62.257,65.327,66.830,67.404,64.011,56.212,61.659,60.381,68.350,65.630,68.100,66.736,66.786,73.105,71.347,73.481,73.529,68.489,68.937,62.591,66.611,70.637,69.223,73.557,72.419,76.115,78.471,77.850,77.242,79.110,76.448,72.672,75.027,76.230,82.313,83.065,76.663,82.185,81.833,86.153,82.476,85.358,81.639,82.396,84.672,81.390,84.447,87.700,88.358,91.582,92.848,98.872,95.849,92.504,92.155,90.325,91.323,93.215,91.780,98.487,95.670,104.692,106.607,107.673,109.230,102.036,97.566,97.778,97.585,96.822,100.582,102.307,100.387,106.306,109.946,109.965,108.915,108.652,101.173,97.691,101.577,100.489,106.454,105.544,102.937,102.058,108.602,106.011,107.097,108.458,95.399,94.963,92.956,98.160,100.145,105.151,100.731,106.974,111.632,114.752,111.576,110.208,99.706,93.183,98.429,98.598,101.167,103.947,100.844,106.467,107.188,110.681,109.634,103.051,96.979,97.679,96.546,98.629,102.382,103.084,103.100,106.114,109.316,110.324,112.209,113.850,99.756,99.249,96.166,80.032,79.034,91.948,100.455,101.869,105.457,110.397,107.971,111.721,102.142,97.228,98.609,99.700,103.012,102.566,107.193,111.484,113.533,114.677,112.391,113.999,101.178,97.720,93.157,88.931,95.508,93.184,93.368,100.982,100.815,101.912,99.693,100.793,93.891,89.814,97.012,93.987,104.726,103.675,105.214,109.107,108.778,113.651,111.837,111.114,105.834,99.158,103.378,105.554,,,,,,,,
