Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  15.423.785 ,  15.202.271 ,  15.615.507 ,  14.949.635 ,  14.835.193 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  76.026.391 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.124.302 ,  1.088.997 ,  1.085.332 ,  1.117.988 ,  1.136.346 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.552.963 
Nordeste,  3.166.501 ,  3.098.886 ,  3.092.548 ,  3.153.229 ,  3.106.173 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  15.617.336 
Sudeste,  7.046.975 ,  6.880.260 ,  7.263.346 ,  6.723.150 ,  6.874.954 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  34.788.686 
Sul,  2.704.095 ,  2.770.596 ,  2.751.506 ,  2.573.013 ,  2.321.034 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.120.244 
Centro-Oeste,  1.381.913 ,  1.363.531 ,  1.422.776 ,  1.382.255 ,  1.396.686 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.947.161 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  144.855 ,  141.041 ,  142.122 ,  150.724 ,  139.767 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  718.509 
Norte,  1.193.731 ,  1.160.694 ,  1.132.036 ,  1.164.529 ,  1.216.115 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.867.104 
Nordeste,  2.752.125 ,  2.699.991 ,  2.713.273 ,  2.754.213 ,  2.676.436 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.596.038 
Sudeste/C.Oeste,  8.628.981 ,  8.429.949 ,  8.876.570 ,  8.307.155 ,  8.481.841 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  42.724.496 
Sul,  2.704.095 ,  2.770.596 ,  2.751.506 ,  2.573.013 ,  2.321.034 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.120.244 
*Dados preliminares (última atualização: 5/7/2024),,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  13.070.017 ,  13.730.743 ,  14.366.258 ,  13.702.929 ,  13.078.816 ,  12.838.654 ,  12.583.433 ,  12.998.957 ,  13.684.814 ,  14.419.966 ,  14.941.458 ,  15.318.949 ,  164.734.994 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  908.626 ,  864.397 ,  948.603 ,  936.381 ,  999.291 ,  1.044.363 ,  1.036.735 ,  1.123.220 ,  1.186.719 ,  1.222.328 ,  1.235.789 ,  1.171.554 ,  12.678.006 
Nordeste,  2.805.490 ,  2.778.418 ,  2.861.484 ,  2.795.542 ,  2.923.572 ,  2.711.658 ,  2.611.503 ,  2.703.657 ,  2.874.947 ,  2.899.670 ,  3.119.037 ,  3.097.885 ,  34.182.863 
Sudeste,  5.855.815 ,  6.333.221 ,  6.829.244 ,  6.388.977 ,  5.936.085 ,  5.888.541 ,  5.751.792 ,  5.929.765 ,  6.212.348 ,  6.607.791 ,  6.880.970 ,  7.080.335 ,  75.694.883 
Sul,  2.347.905 ,  2.605.102 ,  2.503.873 ,  2.354.969 ,  2.049.470 ,  2.064.325 ,  2.112.131 ,  2.062.813 ,  2.092.123 ,  2.210.632 ,  2.176.246 ,  2.446.622 ,  27.026.211 
Centro-Oeste,  1.152.181 ,  1.149.605 ,  1.223.054 ,  1.227.059 ,  1.170.399 ,  1.129.768 ,  1.071.272 ,  1.179.502 ,  1.318.678 ,  1.479.546 ,  1.529.415 ,  1.522.554 ,  15.153.032 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  128.562 ,  120.258 ,  130.266 ,  132.735 ,  132.632 ,  122.389 ,  118.407 ,  135.126 ,  148.196 ,  149.071 ,  146.598 ,  137.753 ,  1.601.994 
Norte,  961.187 ,  932.218 ,  985.691 ,  982.353 ,  1.072.041 ,  1.125.220 ,  1.138.232 ,  1.196.089 ,  1.243.412 ,  1.303.610 ,  1.307.793 ,  1.261.390 ,  13.509.236 
Nordeste,  2.462.010 ,  2.437.444 ,  2.519.331 ,  2.457.215 ,  2.542.905 ,  2.329.790 ,  2.221.715 ,  2.301.098 ,  2.460.984 ,  2.464.157 ,  2.684.077 ,  2.663.061 ,  29.543.786 
Sudeste/C.Oeste,  7.170.353 ,  7.635.721 ,  8.227.097 ,  7.775.658 ,  7.281.768 ,  7.196.930 ,  6.992.948 ,  7.303.830 ,  7.740.099 ,  8.292.497 ,  8.626.743 ,  8.810.123 ,  93.053.767 
Sul,  2.347.905 ,  2.605.102 ,  2.503.873 ,  2.354.969 ,  2.049.470 ,  2.064.325 ,  2.112.131 ,  2.062.813 ,  2.092.123 ,  2.210.632 ,  2.176.246 ,  2.446.622 ,  27.026.211 
,,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL RESIDENCIAL,  13.063.520 ,  12.920.165 ,  13.920.583 ,  12.872.040 ,  12.276.983 ,  11.916.448 ,  11.976.788 ,  12.075.645 ,  12.505.353 ,  12.605.216 ,  12.949.705 ,  13.688.589 ,  152.771.037 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  878.646 ,  829.751 ,  886.754 ,  860.992 ,  899.520 ,  899.714 ,  923.014 ,  995.812 ,  1.032.571 ,  1.044.150 ,  982.073 ,  989.692 ,  11.222.689 
Nordeste,  2.687.342 ,  2.575.410 ,  2.805.342 ,  2.628.482 ,  2.676.007 ,  2.469.484 ,  2.467.219 ,  2.492.009 ,  2.614.393 ,  2.653.201 ,  2.807.406 ,  2.839.078 ,  31.715.372 
Sudeste,  5.992.623 ,  6.037.501 ,  6.641.314 ,  6.255.458 ,  5.701.319 ,  5.493.265 ,  5.539.689 ,  5.545.785 ,  5.694.638 ,  5.755.198 ,  5.951.935 ,  6.316.138 ,  70.924.863 
Sul,  2.347.818 ,  2.348.276 ,  2.392.262 ,  1.963.268 ,  1.873.783 ,  1.994.035 ,  1.988.103 ,  1.948.832 ,  1.980.822 ,  1.936.082 ,  2.004.807 ,  2.282.811 ,  25.060.898 
Centro-Oeste,  1.157.091 ,  1.129.228 ,  1.194.911 ,  1.163.840 ,  1.126.353 ,  1.059.951 ,  1.058.762 ,  1.093.208 ,  1.182.929 ,  1.216.586 ,  1.203.484 ,  1.260.871 ,  13.847.214 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  124.355 ,  121.492 ,  123.713 ,  121.115 ,  119.511 ,  117.166 ,  120.426 ,  132.414 ,  134.000 ,  141.968 ,  134.774 ,  130.749 ,  1.521.683 
Norte,  901.454 ,  847.504 ,  928.986 ,  892.422 ,  950.163 ,  953.667 ,  967.710 ,  1.057.865 ,  1.097.058 ,  1.092.345 ,  1.055.617 ,  1.056.306 ,  11.801.098 
Nordeste,  2.379.851 ,  2.291.729 ,  2.479.530 ,  2.320.974 ,  2.334.653 ,  2.143.356 ,  2.135.519 ,  2.123.905 ,  2.238.969 ,  2.279.964 ,  2.428.473 ,  2.458.424 ,  27.615.346 
Sudeste/C.Oeste,  7.310.043 ,  7.311.163 ,  7.996.093 ,  7.574.262 ,  6.998.873 ,  6.708.224 ,  6.765.030 ,  6.812.629 ,  7.054.503 ,  7.154.858 ,  7.326.034 ,  7.760.299 ,  86.772.011 
Sul,  2.347.818 ,  2.348.276 ,  2.392.262 ,  1.963.268 ,  1.873.783 ,  1.994.035 ,  1.988.103 ,  1.948.832 ,  1.980.822 ,  1.936.082 ,  2.004.807 ,  2.282.811 ,  25.060.898 
,,,,,,,,,,,,,
,2021,,,,,,,,,,,,
