data,consumo
31/01/2004,294.798
29/02/2004,269.980
31/03/2004,276.717
30/04/2004,290.815
31/05/2004,282.304
30/06/2004,265.518
31/07/2004,263.190
31/08/2004,247.536
30/09/2004,261.495
31/10/2004,271.886
30/11/2004,285.609
31/12/2004,284.402
31/01/2005,308.754
28/02/2005,309.170
31/03/2005,296.338
30/04/2005,297.905
31/05/2005,290.164
30/06/2005,278.458
31/07/2005,276.319
31/08/2005,274.644
30/09/2005,281.416
31/10/2005,293.224
30/11/2005,298.957
31/12/2005,300.201
31/01/2006,312.171
28/02/2006,300.999
31/03/2006,331.774
30/04/2006,308.367
31/05/2006,297.839
30/06/2006,292.267
31/07/2006,285.329
31/08/2006,289.946
30/09/2006,299.087
31/10/2006,310.795
30/11/2006,336.258
31/12/2006,301.693
31/01/2007,334.772
28/02/2007,313.590
31/03/2007,313.295
30/04/2007,318.180
31/05/2007,313.571
30/06/2007,320.403
31/07/2007,322.837
31/08/2007,314.851
30/09/2007,298.310
31/10/2007,324.225
30/11/2007,339.018
31/12/2007,339.630
31/01/2008,372.812
29/02/2008,359.460
31/03/2008,347.264
30/04/2008,354.743
31/05/2008,351.089
30/06/2008,327.991
31/07/2008,340.619
31/08/2008,331.064
30/09/2008,329.078
31/10/2008,363.019
30/11/2008,344.470
31/12/2008,368.734
31/01/2009,382.482
28/02/2009,375.572
31/03/2009,414.481
30/04/2009,406.421
31/05/2009,367.466
30/06/2009,346.978
31/07/2009,369.963
31/08/2009,376.397
30/09/2009,392.617
31/10/2009,398.026
30/11/2009,390.808
31/12/2009,430.971
31/01/2010,408.145
28/02/2010,406.420
31/03/2010,470.355
30/04/2010,433.233
31/05/2010,429.537
30/06/2010,434.058
31/07/2010,416.799
31/08/2010,411.273
30/09/2010,414.874
31/10/2010,421.907
30/11/2010,458.677
31/12/2010,470.919
31/01/2011,474.264
28/02/2011,428.866
31/03/2011,483.671
30/04/2011,437.675
31/05/2011,453.789
30/06/2011,424.552
31/07/2011,443.913
31/08/2011,439.918
30/09/2011,431.842
31/10/2011,448.539
30/11/2011,441.912
31/12/2011,458.159
31/01/2012,480.979
29/02/2012,446.543
31/03/2012,508.147
30/04/2012,459.259
31/05/2012,488.717
30/06/2012,446.767
31/07/2012,432.327
31/08/2012,447.781
30/09/2012,438.307
31/10/2012,449.432
30/11/2012,449.515
31/12/2012,456.949
31/01/2013,513.311
28/02/2013,520.115
31/03/2013,535.203
30/04/2013,566.515
31/05/2013,507.814
30/06/2013,451.487
31/07/2013,503.116
31/08/2013,498.097
30/09/2013,486.122
31/10/2013,520.787
30/11/2013,519.768
31/12/2013,521.219
31/01/2014,578.715
28/02/2014,553.326
31/03/2014,561.657
30/04/2014,566.467
31/05/2014,554.866
30/06/2014,506.804
31/07/2014,524.295
31/08/2014,510.134
30/09/2014,515.269
31/10/2014,540.011
30/11/2014,563.169
31/12/2014,551.470
31/01/2015,589.553
28/02/2015,580.843
31/03/2015,591.643
30/04/2015,594.996
31/05/2015,564.525
30/06/2015,511.455
31/07/2015,512.981
31/08/2015,502.116
30/09/2015,521.558
31/10/2015,546.481
30/11/2015,563.255
31/12/2015,607.354
31/01/2016,614.458
29/02/2016,570.365
31/03/2016,631.933
30/04/2016,613.334
31/05/2016,561.774
30/06/2016,560.490
31/07/2016,516.563
31/08/2016,528.354
30/09/2016,548.515
31/10/2016,555.323
30/11/2016,579.105
31/12/2016,608.363
31/01/2017,591.437
28/02/2017,572.688
31/03/2017,605.117
30/04/2017,597.532
31/05/2017,595.280
30/06/2017,567.245
31/07/2017,513.190
31/08/2017,514.989
30/09/2017,530.870
31/10/2017,564.216
30/11/2017,587.768
31/12/2017,602.290
31/01/2018,594.642
28/02/2018,601.810
31/03/2018,602.875
30/04/2018,622.165
31/05/2018,582.166
30/06/2018,568.324
31/07/2018,536.426
31/08/2018,542.482
30/09/2018,545.671
31/10/2018,592.172
30/11/2018,638.944
31/12/2018,612.250
31/01/2019,610.558
28/02/2019,621.313
31/03/2019,694.334
30/04/2019,618.620
31/05/2019,636.722
30/06/2019,572.968
31/07/2019,561.100
31/08/2019,535.701
30/09/2019,555.105
31/10/2019,618.470
30/11/2019,639.439
31/12/2019,677.537
31/01/2020,645.416
29/02/2020,616.274
31/03/2020,670.567
30/04/2020,654.540
31/05/2020,632.003
30/06/2020,579.082
31/07/2020,592.220
31/08/2020,559.791
30/09/2020,583.427
31/10/2020,634.966
30/11/2020,633.608
31/12/2020,661.645
31/01/2021,695.741
28/02/2021,647.405
31/03/2021,701.022
30/04/2021,702.073
31/05/2021,600.408
30/06/2021,620.812
31/07/2021,586.471
31/08/2021,562.060
30/09/2021,596.529
31/10/2021,639.622
30/11/2021,620.300
31/12/2021,659.637
31/01/2022,636.018
28/02/2022,645.196
31/03/2022,691.420
30/04/2022,649.136
31/05/2022,645.646
30/06/2022,591.897
31/07/2022,586.628
31/08/2022,578.924
30/09/2022,600.944
31/10/2022,611.010
30/11/2022,665.042
31/12/2022,653.489
31/01/2023,667.611
28/02/2023,678.190
31/03/2023,708.950
30/04/2023,665.903
31/05/2023,688.309
30/06/2023,590.411
31/07/2023,588.363
31/08/2023,612.484
30/09/2023,655.231
31/10/2023,661.873
30/11/2023,703.405
31/12/2023,718.461
