ANO,REGIAO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
2023,Norte,908626,864397,948603,936381,999291,1044363,1036735,1123220,1186719,1222328,1235789,1171554
2023,Nordeste,2805490,2778418,2861484,2795542,2923572,2711658,2611503,2703657,2874947,2899670,3119037,3097885
2023,Sudeste,5855815,6333221,6829244,6388977,5936085,5888541,5751792,5929765,6212348,6607791,6880970,7080335
2023,Sul,2347905,2605102,2503873,2354969,2049470,2064325,2112131,2062813,2092123,2210632,2176246,2446622
2023,Centro-Oeste,1152181,1149605,1223054,1227059,1170399,1129768,1071272,1179502,1318678,1479546,1529415,1522554
2022,Norte,878646,829751,886754,860992,899520,899714,923014,995812,1032571,1044150,982073,989692
2022,Nordeste,2687342,2575410,2805342,2628482,2676007,2469484,2467219,2492009,2614393,2653201,2807406,2839078
2022,Sudeste,5992623,6037501,6641314,6255458,5701319,5493265,5539689,5545785,5694638,5755198,5951935,6316138
2022,Sul,2347818,2348276,2392262,1963268,1873783,1994035,1988103,1948832,1980822,1936082,2004807,2282811
2022,Centro-Oeste,1157091,1129228,1194911,1163840,1126353,1059951,1058762,1093208,1182929,1216586,1203484,1260871
2021,Norte,829320,798266,811549,863586,857418,890071,852598,908326,973482,961855,943441,931826
2021,Nordeste,2763245,2623494,2731576,2778757,2541573,2567474,2479002,2462667,2560694,2679149,2668152,2831641
2021,Sudeste,6604401,6235408,6357289,6390169,5626107,5549613,5404190,5472932,5975072,5758807,5674137,6024669
2021,Sul,2273434,2119585,2205119,2122892,1881304,1873584,1964097,1982015,1836742,1878103,1945066,2082091
2021,Centro-Oeste,1183630,1099086,1150854,1203491,1067692,1119338,1000703,1010658,1250428,1260245,1146710,1214616
2020,Norte,799554,795849,809203,825130,821868,829362,873226,896084,941910,961023,926031,856868
2020,Nordeste,2590819,2456880,2599628,2667831,2587578,2424710,2421275,2354043,2458564,2628029,2680088,2741444
2020,Sudeste,6159441,5890217,5894607,5678228,5426561,5400703,5496332,5671487,5756787,6241392,5999235,6377972
2020,Sul,2244223,2141097,2044197,1995892,1850036,1779343,1915802,1879434,1928536,1953028,1950981,2116828
2020,Centro-Oeste,1114472,1099187,1084225,1151278,1069859,961848,999893,1050728,1154592,1306606,1221558,1219580
2019,Norte,726874,713769,731745,751878,777287,782406,807441,817871,855773,826928,837489,837765
2019,Nordeste,2433230,2421842,2541248,2381421,2490242,2330185,2300502,2206131,2263215,2467786,2565289,2674693
2019,Sudeste,6389714,6188834,6072327,5610278,5785412,5269701,5152318,5201820,5376428,5668331,5967916,5682864
2019,Sul,2302787,2226479,1999924,1806674,1822174,1714445,1761217,1797405,1770891,1849757,1913587,1918579
2019,Centro-Oeste,1085468,1075744,1038807,1019207,1051478,953578,930808,963777,1112872,1160312,1139397,1086805
2018,Norte,749421,721929,749309,761093,784448,776976,782046,797189,804933,861574,841537,738718
