ANO,REGIAO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
2023,Norte,908.626,864.397,948.603,936.381,999.291,1.044.363,1.036.735,1.123.220,1.186.719,1.222.328,1.235.789,1.171.554
2023,Nordeste,2.805.490,2.778.418,2.861.484,2.795.542,2.923.572,2.711.658,2.611.503,2.703.657,2.874.947,2.899.670,3.119.037,3.097.885
2023,Sudeste,5.855.815,6.333.221,6.829.244,6.388.977,5.936.085,5.888.541,5.751.792,5.929.765,6.212.348,6.607.791,6.880.970,7.080.335
2023,Sul,2.347.905,2.605.102,2.503.873,2.354.969,2.049.470,2.064.325,2.112.131,2.062.813,2.092.123,2.210.632,2.176.246,2.446.622
2023,Centro-Oeste,1.152.181,1.149.605,1.223.054,1.227.059,1.170.399,1.129.768,1.071.272,1.179.502,1.318.678,1.479.546,1.529.415,1.522.554
2022,Norte,878.646,829.751,886.754,860.992,899.520,899.714,923.014,995.812,1.032.571,1.044.150,982.073,989.692
2022,Nordeste,2.687.342,2.575.410,2.805.342,2.628.482,2.676.007,2.469.484,2.467.219,2.492.009,2.614.393,2.653.201,2.807.406,2.839.078
2022,Sudeste,5.992.623,6.037.501,6.641.314,6.255.458,5.701.319,5.493.265,5.539.689,5.545.785,5.694.638,5.755.198,5.951.935,6.316.138
2022,Sul,2.347.818,2.348.276,2.392.262,1.963.268,1.873.783,1.994.035,1.988.103,1.948.832,1.980.822,1.936.082,2.004.807,2.282.811
2022,Centro-Oeste,1.157.091,1.129.228,1.194.911,1.163.840,1.126.353,1.059.951,1.058.762,1.093.208,1.182.929,1.216.586,1.203.484,1.260.871
2021,Norte,829.320,798.266,811.549,863.586,857.418,890.071,852.598,908.326,973.482,961.855,943.441,931.826
2021,Nordeste,2.763.245,2.623.494,2.731.576,2.778.757,2.541.573,2.567.474,2.479.002,2.462.667,2.560.694,2.679.149,2.668.152,2.831.641
2021,Sudeste,6.604.401,6.235.408,6.357.289,6.390.169,5.626.107,5.549.613,5.404.190,5.472.932,5.975.072,5.758.807,5.674.137,6.024.669
2021,Sul,2.273.434,2.119.585,2.205.119,2.122.892,1.881.304,1.873.584,1.964.097,1.982.015,1.836.742,1.878.103,1.945.066,2.082.091
2021,Centro-Oeste,1.183.630,1.099.086,1.150.854,1.203.491,1.067.692,1.119.338,1.000.703,1.010.658,1.250.428,1.260.245,1.146.710,1.214.616
2020,Norte,799.554,795.849,809.203,825.130,821.868,829.362,873.226,896.084,941.910,961.023,926.031,856.868
2020,Nordeste,2.590.819,2.456.880,2.599.628,2.667.831,2.587.578,2.424.710,2.421.275,2.354.043,2.458.564,2.628.029,2.680.088,2.741.444
2020,Sudeste,6.159.441,5.890.217,5.894.607,5.678.228,5.426.561,5.400.703,5.496.332,5.671.487,5.756.787,6.241.392,5.999.235,6.377.972
